Id. de la fila;Id. del pedido;Fecha del pedido;ANIO;MES;SEMANA;NUM DIAS;Fecha de envío;Forma de envío;Id. del cliente;Nombre del cliente;Segmento;Ciudad;Estado;País;Región;Id. del producto;Categoría;Subcategoría;Nombre del producto;Total;Cantidad;Descuento;Ganancia;
1682;MX-2018-111899;2/04/2018;2018;abr;1;2;6/04/2018;Estándar;AM-11365;Araceli Manzanares;Empresa;Cruzeiro do Sul;Acre;Brasil;Sur;MAT-AR-10004857;Material de oficina;Arte;Boston Rotuladores, Tamaños variados;591;3;0;206,4;
5919;MX-2018-113922;8/10/2018;2018;oct;1;8;11/10/2018;Rápido;BS-12130;Benjamín Saavedra;Particulares;Rio Branco;Acre;Brasil;Sur;MOB-LI-10000647;Mobiliario;Librerías;Dania Conjunto de estantes, Metal;2250,8;2;0;922,8;
5920;MX-2018-113922;8/10/2018;2018;oct;1;8;11/10/2018;Rápido;BS-12130;Benjamín Saavedra;Particulares;Rio Branco;Acre;Brasil;Sur;MAT-CA-10002956;Material de oficina;Carpetas;Avery Anillas, Transparente;129;5;0;11;
9013;MX-2016-163888;14/06/2016;2016;jun;2;14;18/06/2016;Estándar;AT-10090;Alejandro Trejo;Particulares;Rio Branco;Acre;Brasil;Sur;MOB-MO-10002100;Mobiliario;Mobiliario;Tenex Bandeja apiladora, Negro;504,6;3;0;95,4;
9014;MX-2016-163888;14/06/2016;2016;jun;2;14;18/06/2016;Estándar;AT-10090;Alejandro Trejo;Particulares;Rio Branco;Acre;Brasil;Sur;MOB-LI-10002747;Mobiliario;Librerías;Safco Vitrina, Convencional;3376,8;3;0;641,4;
9406;MX-2015-109029;20/07/2015;2015;jul;3;20;22/07/2015;Urgente;AJ-10840;Amador Jasón;Particulares;Cruzeiro do Sul;Acre;Brasil;Sur;MAT-CA-10003527;Material de oficina;Carpetas;Avery Cubierta de carpeta, Duradero;167,6;2;0;62;
603;MX-2018-103002;16/05/2018;2018;may;2;16;18/05/2018;Urgente;LG-17920;Leonor Gómez;Particulares;Penedo;Alagoas;Brasil;Sur;MAT-AL-10002433;Material de oficina;Almacenamiento;Fellowes Archivador móvil, Industrial;1837,2;2;0;753,2;
809;MX-2017-133459;5/09/2017;2017;sep;1;5;9/09/2017;Estándar;CV-12475;Cristina Vergara;Particulares;Maceió;Alagoas;Brasil;Sur;MAT-SO-10003712;Material de oficina;Sobres;Cameo Sobre de tipo Manila, 50;540;3;0;37,8;
3315;MX-2015-141726;11/11/2015;2015;nov;2;11;16/11/2015;Rápido;EC-14410;Eusebio Cano;PYME;Maceió;Alagoas;Brasil;Sur;MOB-SI-10000143;Mobiliario;Sillas;Harbour Creations Silla plegable, Negro;3182;5;0;159;
3474;MX-2017-130911;5/10/2017;2017;oct;1;5;7/10/2017;Rápido;HS-15655;Héctor Salcido;Empresa;Arapiraca;Alagoas;Brasil;Sur;MOB-SI-10004179;Mobiliario;Sillas;Office Star Silla de playa, Negro;706,8;2;0;42,4;
3499;MX-2017-166443;21/08/2017;2017;ago;3;21;25/08/2017;Estándar;WV-21820;Wendi Valdés;Particulares;Maceió;Alagoas;Brasil;Sur;MAT-PA-10000990;Material de oficina;Papel;Green Bar Cuaderno, Multicolor;1248;6;0;261,6;
3500;MX-2017-166443;21/08/2017;2017;ago;3;21;25/08/2017;Estándar;WV-21820;Wendi Valdés;Particulares;Maceió;Alagoas;Brasil;Sur;TEC-MÁ-10004980;Tecnología;Máquinas;Panasonic Impresora, Rojo;7030,4;4;0;3515,2;
3501;MX-2017-166443;21/08/2017;2017;ago;3;21;25/08/2017;Estándar;WV-21820;Wendi Valdés;Particulares;Maceió;Alagoas;Brasil;Sur;MOB-SI-10004179;Mobiliario;Sillas;Office Star Silla de playa, Negro;1060,2;3;0;63,6;
4101;MX-2016-113201;14/09/2016;2016;sep;2;14;18/09/2016;Estándar;IC-16405;Iris Casares;PYME;Arapiraca;Alagoas;Brasil;Sur;MAT-SU-10003821;Material de oficina;Suministros;Acme Regla, Azul;334,2;3;0;39,6;
4102;MX-2016-113201;14/09/2016;2016;sep;2;14;18/09/2016;Estándar;IC-16405;Iris Casares;PYME;Arapiraca;Alagoas;Brasil;Sur;MAT-CA-10000917;Material de oficina;Carpetas;Avery Separadores, Económico;126,6;3;0;7,2;
4103;MX-2016-113201;14/09/2016;2016;sep;2;14;18/09/2016;Estándar;IC-16405;Iris Casares;PYME;Arapiraca;Alagoas;Brasil;Sur;MAT-AL-10003968;Material de oficina;Almacenamiento;Rogers Bandejas, Tamaño completo;822,8;2;0;164,4;
5321;MX-2016-117870;4/10/2016;2016;oct;1;4;9/10/2016;Estándar;TA-21175;Teodora Atencio;Empresa;Penedo;Alagoas;Brasil;Sur;MAT-CA-10002885;Material de oficina;Carpetas;Cardinal Cubierta de carpeta, Económico;160;2;0;25,6;
6481;MX-2018-148684;19/12/2018;2018;dic;3;19;25/12/2018;Estándar;AR-10525;Amalia Ríos;Empresa;Maceió;Alagoas;Brasil;Sur;MAT-AL-10004135;Material de oficina;Almacenamiento;Tenex Archivador móvil, Tamaño completo;2683,2;3;0;885;
6482;MX-2018-148684;19/12/2018;2018;dic;3;19;25/12/2018;Estándar;AR-10525;Amalia Ríos;Empresa;Maceió;Alagoas;Brasil;Sur;MAT-SO-10001206;Material de oficina;Sobres;Cameo Sobre empresarial, Reciclado;105;1;0;50,4;
8062;MX-2018-113586;18/11/2018;2018;nov;3;18;18/11/2018;Mismo día;FF-14890;Fidel Ferrer;Empresa;Maceió;Alagoas;Brasil;Sur;MAT-SO-10000209;Material de oficina;Sobres;GlobeWeis Paquetes, 50;514;2;0;133,6;
8063;MX-2018-113586;18/11/2018;2018;nov;3;18;18/11/2018;Mismo día;FF-14890;Fidel Ferrer;Empresa;Maceió;Alagoas;Brasil;Sur;MOB-LI-10000384;Mobiliario;Librerías;Dania Librería clásica, Blanco;5510,4;2;0;991,6;
8064;MX-2018-113586;18/11/2018;2018;nov;3;18;18/11/2018;Mismo día;FF-14890;Fidel Ferrer;Empresa;Maceió;Alagoas;Brasil;Sur;MOB-MO-10000586;Mobiliario;Mobiliario;Eldon Tope para puertas, Negro;2006,4;6;0;621,6;
8065;MX-2018-113586;18/11/2018;2018;nov;3;18;18/11/2018;Mismo día;FF-14890;Fidel Ferrer;Empresa;Maceió;Alagoas;Brasil;Sur;MOB-ME-10001571;Mobiliario;Mesas;Bevis Mesa de formación, Montada;3588,8;2;0,2;493,2;
8066;MX-2018-113586;18/11/2018;2018;nov;3;18;18/11/2018;Mismo día;FF-14890;Fidel Ferrer;Empresa;Maceió;Alagoas;Brasil;Sur;TEC-TE-10002678;Tecnología;Teléfonos;Apple Base de audio, Tamaño completo;4484,8;4;0;492,8;
8837;MX-2017-164938;18/04/2017;2017;abr;3;18;23/04/2017;Rápido;NM-19390;Nidia Mena;Particulares;Maceió;Alagoas;Brasil;Sur;MAT-AR-10000761;Material de oficina;Arte;Boston Bolígrafos, Metal;412,8;4;0;156,8;
8838;MX-2017-164938;18/04/2017;2017;abr;3;18;23/04/2017;Rápido;NM-19390;Nidia Mena;Particulares;Maceió;Alagoas;Brasil;Sur;MAT-PA-10001204;Material de oficina;Papel;Green Bar Agenda, Multicolor;504;3;0;55,2;
8839;MX-2017-164938;18/04/2017;2017;abr;3;18;23/04/2017;Rápido;NM-19390;Nidia Mena;Particulares;Maceió;Alagoas;Brasil;Sur;MAT-SU-10003322;Material de oficina;Suministros;Elite Tijeras, Rectangular;512,8;4;0;164;
9477;MX-2017-160444;7/11/2017;2017;nov;1;7;12/11/2017;Estándar;VC-21490;Valeria Caldera;Particulares;Maceió;Alagoas;Brasil;Sur;MAT-SO-10002955;Material de oficina;Sobres;Kraft Cierre adhesivo, Rojo;320,4;2;0;108,8;
10026;US-2018-154564;4/07/2018;2018;jul;1;4;7/07/2018;Rápido;RC-20440;Reinaldo Córdova;Empresa;Pilar;Alagoas;Brasil;Sur;MOB-ME-10003347;Mobiliario;Mesas;Chromcraft Mesa de café, Rectangular;2117,28;3;0,6;-529,32;
10027;US-2018-154564;4/07/2018;2018;jul;1;4;7/07/2018;Rápido;RC-20440;Reinaldo Córdova;Empresa;Pilar;Alagoas;Brasil;Sur;MOB-LI-10000283;Mobiliario;Librerías;Ikea Librería, Blanco;1334,4;4;0,6;-934,4;
10028;US-2018-154564;4/07/2018;2018;jul;1;4;7/07/2018;Rápido;RC-20440;Reinaldo Córdova;Empresa;Pilar;Alagoas;Brasil;Sur;MAT-GR-10001628;Material de oficina;Grapas;Advantus Cintas de goma, Paquete de 12;170,88;4;0,6;-252,32;
10029;US-2018-101623;9/12/2018;2018;dic;2;9;11/12/2018;Rápido;AV-10825;Amelia Vega;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-SU-10000055;Material de oficina;Suministros;Fiskars Recortadora, Rectangular;312;3;0,6;-226,2;
10055;US-2015-149041;1/06/2015;2015;jun;1;1;6/06/2015;Estándar;NP-19210;Natalia Paredes;Empresa;Pilar;Alagoas;Brasil;Sur;MAT-PA-10004251;Material de oficina;Papel;Eaton Papel de tipo pergamino, Premium;71,84;2;0,6;-50,56;
10056;US-2015-149041;1/06/2015;2015;jun;1;1;6/06/2015;Estándar;NP-19210;Natalia Paredes;Empresa;Pilar;Alagoas;Brasil;Sur;TEC-CO-10000319;Tecnología;Copiadoras;Hewlett Fotocopiadora con fax, Rojo;2534,862;5;0,602;-1160,138;
10090;US-2017-139297;5/12/2017;2017;dic;1;5;10/12/2017;Estándar;BF-12040;Bibiana Ferro;PYME;Pilar;Alagoas;Brasil;Sur;MAT-GR-10000238;Material de oficina;Grapas;Stockwell Pasadores, Tamaños variados;157,6;5;0,6;-185,4;
10104;US-2018-162999;25/02/2018;2018;feb;4;25;2/03/2018;Estándar;TC-21085;Tina Cardona;Particulares;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-GR-10004152;Material de oficina;Grapas;Stockwell Grapas, Al por mayor;138,8;5;0,6;-125,2;
10118;US-2015-136007;4/01/2015;2015;ene;1;4;11/01/2015;Estándar;AH-11305;Ariadna Hernández;PYME;Pilar;Alagoas;Brasil;Sur;MAT-SO-10002386;Material de oficina;Sobres;Jiffy Sobres de uso interno, 50;743,04;6;0,6;-1078,56;
10139;US-2017-165939;20/10/2017;2017;oct;3;20;24/10/2017;Estándar;AR-11335;Adriana Rocha;PYME;Pilar;Alagoas;Brasil;Sur;MOB-SI-10002611;Mobiliario;Sillas;Harbour Creations Silla plegable, Rojo;783,12;3;0,6;-1076,88;
10140;US-2017-165939;20/10/2017;2017;oct;3;20;24/10/2017;Estándar;AR-11335;Adriana Rocha;PYME;Pilar;Alagoas;Brasil;Sur;MAT-CA-10004233;Material de oficina;Carpetas;Avery Separadores, Transparente;77,2;5;0,6;-44,8;
10141;US-2017-165939;20/10/2017;2017;oct;3;20;24/10/2017;Estándar;AR-11335;Adriana Rocha;PYME;Pilar;Alagoas;Brasil;Sur;MOB-SI-10000569;Mobiliario;Sillas;Office Star Silla de playa, Ajustable;772,4;5;0,6;-367,6;
10148;US-2018-126515;18/12/2018;2018;dic;3;18;20/12/2018;Rápido;FV-14740;Felipe Vélez;Empresa;Pilar;Alagoas;Brasil;Sur;MAT-AR-10000946;Material de oficina;Arte;Sanford Lienzos, Azul;673,6;5;0,6;-977,4;
10149;US-2018-126515;18/12/2018;2018;dic;3;18;20/12/2018;Rápido;FV-14740;Felipe Vélez;Empresa;Pilar;Alagoas;Brasil;Sur;MAT-SO-10002557;Material de oficina;Sobres;Cameo Paquetes, 50;610,56;6;0,6;-565,44;
10150;US-2016-129546;12/07/2016;2016;jul;2;12;12/07/2016;Mismo día;VC-21535;Victoria Chavarría;PYME;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-AL-10001876;Material de oficina;Almacenamiento;Tenex Bandejas, Industrial;1020,88;7;0,6;-537,32;
10151;US-2016-129546;12/07/2016;2016;jul;2;12;12/07/2016;Mismo día;VC-21535;Victoria Chavarría;PYME;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-AR-10003061;Material de oficina;Arte;Binney & Smith Lienzos, Metal;841,92;6;0,6;-505,68;
10167;US-2017-150574;25/06/2017;2017;jun;4;25;27/06/2017;Rápido;TA-21175;Teodora Atencio;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MOB-LI-10002241;Mobiliario;Librerías;Safco Librería, Metal;1979,2;5;0,6;-1830,8;
10168;US-2017-150574;25/06/2017;2017;jun;4;25;27/06/2017;Rápido;TA-21175;Teodora Atencio;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-EL-10002343;Material de oficina;Electrodomésticos;Cuisinart Microondas, Negro;4446,24;6;0,6;-4668,96;
10169;US-2017-150574;25/06/2017;2017;jun;4;25;27/06/2017;Rápido;TA-21175;Teodora Atencio;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;TEC-AC-10003453;Tecnología;Accesorios;Belkin Teclado, Blanco;1481,6;10;0,6;-1668,4;
10170;US-2017-150574;25/06/2017;2017;jun;4;25;27/06/2017;Rápido;TA-21175;Teodora Atencio;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MOB-LI-10002548;Mobiliario;Librerías;Sauder Conjunto de estantes, Blanco;1576,8;3;0,6;-1458,6;
10171;US-2017-150574;25/06/2017;2017;jun;4;25;27/06/2017;Rápido;TA-21175;Teodora Atencio;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-AL-10003173;Material de oficina;Almacenamiento;Smead Caja, Tamaño completo;57,6;2;0,6;-53,6;
10187;US-2017-165785;16/11/2017;2017;nov;2;16;20/11/2017;Rápido;PS-19870;Paola Solís;PYME;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-ET-10000741;Material de oficina;Etiquetas;Hon Etiquetas extraíbles, Blanco;82,08;3;0,6;-94,92;
10188;US-2017-165785;16/11/2017;2017;nov;2;16;20/11/2017;Rápido;PS-19870;Paola Solís;PYME;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-SU-10004792;Material de oficina;Suministros;Elite Regla, Acero;316,8;9;0,6;-302,4;
10189;US-2017-165785;16/11/2017;2017;nov;2;16;20/11/2017;Rápido;PS-19870;Paola Solís;PYME;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-GR-10004275;Material de oficina;Grapas;OIC Grapas, Tamaños variados;46,88;2;0,6;-19,12;
10190;US-2017-165785;16/11/2017;2017;nov;2;16;20/11/2017;Rápido;PS-19870;Paola Solís;PYME;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-SO-10002307;Material de oficina;Sobres;Kraft Sobre de hebilla, Rojo;167,2;5;0,6;-213,8;
10229;US-2015-162015;26/02/2015;2015;feb;4;26;3/03/2015;Estándar;AF-10195;Adela Feliciano;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;TEC-TE-10001916;Tecnología;Teléfonos;Samsung Teléfono de oficina, Tamaño completo;709,44;4;0,6;-514,56;
10230;US-2015-162015;26/02/2015;2015;feb;4;26;3/03/2015;Estándar;AF-10195;Adela Feliciano;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;TEC-AC-10000557;Tecnología;Accesorios;Memorex Ratón, Blanco;207,84;3;0,6;-125,16;
10231;US-2015-162015;26/02/2015;2015;feb;4;26;3/03/2015;Estándar;AF-10195;Adela Feliciano;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MOB-SI-10004340;Mobiliario;Sillas;Harbour Creations Taburete, Rojo;1440,96;3;0,6;-1116,84;
10232;US-2015-162015;26/02/2015;2015;feb;4;26;3/03/2015;Estándar;AF-10195;Adela Feliciano;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-SU-10004950;Material de oficina;Suministros;Acme Recortadora, Rectangular;220,16;2;0,6;-313,84;
10235;US-2015-117702;17/08/2015;2015;ago;3;17;20/08/2015;Urgente;AR-10420;Azucena Rodríguez;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;TEC-TE-10003987;Tecnología;Teléfonos;Nokia Base de audio, Tamaños variados;904,48;2;0,6;-384,72;
10236;US-2015-117702;17/08/2015;2015;ago;3;17;20/08/2015;Urgente;AR-10420;Azucena Rodríguez;Empresa;São Miguel dos Campos;Alagoas;Brasil;Sur;TEC-AC-10004316;Tecnología;Accesorios;Belkin Teclado, Programable;632;4;0,6;-743,2;
10243;US-2018-121293;26/09/2018;2018;sep;4;26;28/09/2018;Urgente;JA-16990;Julieta Almanza;Empresa;Pilar;Alagoas;Brasil;Sur;MAT-AL-10002238;Material de oficina;Almacenamiento;Rogers Archivador móvil, Tamaño completo;755,36;2;0,6;-717,84;
10271;US-2016-114860;27/11/2016;2016;nov;4;27;1/12/2016;Estándar;ÁC-10915;Ángel Chávez;Particulares;São Miguel dos Campos;Alagoas;Brasil;Sur;MAT-SU-10002721;Material de oficina;Suministros;Acme Cizallas, Industrial;549,76;4;0,6;-467,84;
10286;US-2016-106523;11/02/2016;2016;feb;1;11;15/02/2016;Estándar;OG-19795;Olvido Godoy;PYME;São Miguel dos Campos;Alagoas;Brasil;Sur;MOB-SI-10001930;Mobiliario;Sillas;Harbour Creations Silla de playa, Rojo;492,96;3;0,6;-407,04;
1718;MX-2016-110751;25/12/2016;2016;dic;4;25;31/12/2016;Estándar;AD-10735;Alejandra Duarte;Particulares;Macapá;Amapá;Brasil;Sur;MAT-PA-10004917;Material de oficina;Papel;Green Bar Material de oficina, Multicolor;2324;7;0;324,8;
1719;MX-2016-110751;25/12/2016;2016;dic;4;25;31/12/2016;Estándar;AD-10735;Alejandra Duarte;Particulares;Macapá;Amapá;Brasil;Sur;MAT-AR-10004686;Material de oficina;Arte;Binney & Smith Bolígrafos, Azul;159,2;2;0;9,2;
1720;MX-2016-110751;25/12/2016;2016;dic;4;25;31/12/2016;Estándar;AD-10735;Alejandra Duarte;Particulares;Macapá;Amapá;Brasil;Sur;MOB-ME-10003239;Mobiliario;Mesas;Bevis Mesa de café, Rectangular;5052;3;0,2;-505,2;
